5.235 27.298
13.126 27.298
19.196 27.253
27.086 27.230
33.460 27.161
39.833 27.069
45.903 26.977
51.366 26.839
57.739 26.724
63.505 26.564
70.486 26.334
75.948 26.173
80.197 25.990
85.053 25.806
90.819 25.531
95.372 25.278
99.924 25.048
104.780 24.727
108.725 24.452
113.278 23.946
115.402 23.602
119.044 23.120
122.686 22.821
126.631 22.431
133.005 22.064
137.860 21.696
142.716 21.398
146.965 21.122
151.821 20.801
156.980 20.526
162.140 20.227
166.995 19.883
172.458 19.561
177.921 19.240
182.777 18.918
187.026 18.666
190.971 18.459
195.827 18.161
198.558 17.954
